ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,
1.05029,-0.0898438,-0.187988,-4.45557,3.23486,-1.40381,-311,-37,121,-148.601,-78.2117,14.1119,0.169434,0.00585938,0.926758,-1.64795,0.305176,3.35693,71,93,367,-3.57605,-11.6235,-90.6757,0.880371,-0.339355,-0.090332,-0.793457,0.976562,-0.12207,-89,-20,197,-100.074,-64.8029,-6.74561,0.79541,-0.564453,-0.185547,-0.0610352,0.793457,1.2207,-102,446,187,-107.177,-51.7346,81.8372,
1.04443,-0.0991211,-0.175781,-3.17383,1.89209,-1.52588,-310,-35,121,-148.705,-78.2831,14.1449,0.157715,0.00830078,0.927246,-1.89209,-0.854492,-0.244141,71,93,367,-3.57056,-11.6071,-90.6482,0.878418,-0.315918,-0.0917969,-0.671387,1.77002,3.78418,-89,-19,196,-100.058,-64.8138,-6.76758,0.79248,-0.55957,-0.188965,-0.305176,0.488281,4.76074,-102,446,187,-107.144,-51.6797,81.7877,
1.05029,-0.108887,-0.160156,-1.0376,0.976562,-1.89209,-312,-37,120,-148.821,-78.3325,14.2438,0.157715,0.00927734,0.92627,-2.38037,-2.01416,-3.479,71,93,367,-3.55408,-11.618,-90.6812,0.883789,-0.320312,-0.0859375,-3.41797,1.52588,7.8125,-90,-19,197,-100.047,-64.7754,-6.80054,0.791992,-0.564941,-0.183105,-1.52588,0,8.36182,-102,446,187,-107.117,-51.5918,81.7383,
1.05127,-0.111816,-0.154785,-0.854492,2.99072,-1.89209,-311,-37,120,-148.843,-78.382,14.2603,0.165039,0.00976562,0.928223,-1.77002,-2.92969,-7.69043,71,93,367,-3.5321,-11.6455,-90.769,0.882812,-0.348145,-0.0864258,-5.43213,1.52588,10.3149,-90,-21,197,-100.047,-64.649,-6.88843,0.791016,-0.578613,-0.184082,-2.31934,-0.488281,10.8032,-102,447,186,-107.095,-51.416,81.6669,
1.04834,-0.108887,-0.15918,-0.305176,4.08936,-1.83105,-313,-37,118,-148.793,-78.4753,14.1998,0.172852,-0.00390625,0.937988,-0.610352,-2.92969,-9.64355,71,93,367,-3.47717,-11.7004,-90.9393,0.88623,-0.386719,-0.0800781,-6.95801,1.64795,12.5732,-89,-21,196,-100.047,-64.5062,-6.9928,0.793945,-0.597168,-0.188477,-3.60107,-0.854492,12.5732,-102,447,185,-107.095,-51.2567,81.6064,
1.04395,-0.10498,-0.173828,1.34277,5.31006,-1.34277,-316,-37,121,-148.689,-78.5577,14.0955,0.188477,-0.0366211,0.953125,0.183105,-3.35693,-11.4136,71,93,367,-3.41125,-11.7609,-91.1536,0.89209,-0.412109,-0.0737305,-7.62939,1.58691,13.4888,-91,-21,196,-100.042,-64.27,-7.16858,0.796387,-0.602539,-0.183594,-4.21143,-0.854492,13.4888,-102,447,186,-107.1,-51.015,81.524,
1.04053,-0.100098,-0.16748,1.77002,5.43213,-1.28174,-316,-36,121,-148.486,-78.6676,13.9252,0.206543,-0.0737305,0.96875,0,-3.60107,-12.085,71,93,367,-3.36731,-11.8213,-91.3293,0.898926,-0.450195,-0.0654297,-8.11768,1.34277,13.6719,-88,-20,196,-100.036,-64.0009,-7.35535,0.792969,-0.633789,-0.179199,-4.3335,-1.15967,12.9395,-101,449,187,-107.122,-50.7678,81.4417,
1.04053,-0.102539,-0.166016,0.732422,4.88281,-1.28174,-316,-38,119,-148.315,-78.7775,13.7714,0.222168,-0.101562,0.987793,-0.427246,-3.60107,-12.085,71,93,367,-3.34534,-11.9147,-91.5656,0.905762,-0.499512,-0.0551758,-6.65283,0.854492,12.0239,-88,-20,197,-100.02,-63.7976,-7.49817,0.786133,-0.652832,-0.189941,-4.08936,-1.40381,11.2915,-101,450,186,-107.144,-50.5975,81.3922,
1.04004,-0.117676,-0.17041,0.488281,4.94385,-0.427246,-315,-36,119,-148.156,-78.8489,13.6011,0.236816,-0.163086,1.021,0,-3.17383,-11.2305,71,93,367,-3.35083,-11.9806,-91.7413,0.90332,-0.548828,-0.043457,-5.12695,0.244141,9.58252,-88,-18,197,-99.9701,-63.5394,-7.68494,0.784668,-0.65625,-0.193848,-2.62451,-1.28174,8.05664,-101,449,187,-107.172,-50.4163,81.3483,
1.04248,-0.132812,-0.172852,0.976562,4.69971,0.244141,-314,-35,119,-147.832,-78.9258,13.2495,0.258301,-0.22998,1.06836,2.0752,-3.66211,-8.91113,71,93,367,-3.3783,-12.074,-91.9446,0.91748,-0.649902,-0.0322266,-0.793457,-1.0376,3.2959,-87,-18,198,-99.9152,-63.3746,-7.78931,0.793457,-0.687012,-0.18457,-0.793457,-0.732422,0.793457,-100,449,186,-107.183,-50.3448,81.3318,
1.03564,-0.145508,-0.17627,2.86865,3.60107,1.34277,-315,-36,119,-147.513,-78.9642,12.9089,0.319336,-0.341797,1.13135,8.11768,-1.52588,-2.50244,71,93,367,-3.38379,-12.1619,-92.049,0.941406,-0.76416,-0.00634766,2.74658,-2.56348,-5.5542,-87,-18,200,-99.8328,-63.2648,-7.86072,0.808594,-0.772949,-0.181152,2.38037,-0.488281,-7.38525,-99,450,187,-107.199,-50.3998,81.3702,
