ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,
-0.012207,-0.237305,0.946289,1.28174,-0.610352,0.793457,-110,310,-662,1.3678,2.10388,-24.5709,0.926758,0.0200195,-0.291992,-1.0376,-4.76074,2.62451,-90,-167,341,131.506,-69.4666,114.758,0.916016,-0.175293,-0.0737305,-1.0376,-1.46484,2.38037,-313,22,261,-138.279,-81.0297,46.6754,
-0.0117188,-0.217285,0.940918,-0.244141,0,5.98145,-110,309,-662,1.33484,2.10388,-24.5544,0.936523,0.0102539,-0.293457,2.31934,-2.80762,-2.99072,-91,-166,340,131.902,-69.4995,114.324,0.91748,-0.166016,-0.065918,-0.427246,-3.90625,-2.31934,-312,25,263,-138.12,-80.9857,46.4337,
-0.00830078,-0.210449,0.943359,-2.13623,0.305176,9.46045,-109,310,-661,1.26343,2.09839,-24.472,0.946289,0.0175781,-0.289551,6.10352,-0.305176,-8.17871,-92,-166,340,132.078,-69.4995,114.164,0.929688,-0.152344,-0.0766602,-0.183105,-6.65283,-7.69043,-312,26,262,-138.45,-80.9692,46.7249,
-0.0102539,-0.20166,0.953125,-3.23486,1.0376,14.8926,-109,310,-662,1.15906,2.10938,-24.3127,0.944336,0.0620117,-0.291504,9.46045,2.50244,-14.1602,-91,-167,340,132.166,-69.4666,114.17,0.932129,-0.148438,-0.0913086,-0.183105,-8.54492,-10.8032,-313,26,261,-139.384,-80.9692,47.6202,
-0.0170898,-0.176758,0.952637,-3.11279,0.305176,20.4468,-109,310,-662,1.0437,2.10938,-24.082,0.927734,0.0947266,-0.288574,10.6201,4.5166,-19.7754,-91,-168,340,132.039,-69.3732,114.445,0.932129,-0.143066,-0.111816,0.244141,-10.9253,-14.7705,-315,27,260,-140.812,-80.9692,49.032,
-0.015625,-0.140625,0.955566,-0.793457,-1.0376,25.3296,-109,311,-662,0.955811,2.0929,-23.7744,0.92041,0.124512,-0.282227,12.085,5.5542,-22.583,-93,-168,340,131.715,-69.2303,114.955,0.9375,-0.125,-0.119629,1.52588,-13.0615,-17.8223,-314,27,261,-142.657,-80.9692,50.8942,
-0.00878906,-0.0952148,0.981934,3.23486,-1.64795,28.6255,-109,312,-661,0.928345,2.07642,-23.5382,0.92041,0.181152,-0.280273,12.7563,7.01904,-26.3672,-91,-169,341,131.204,-69.0381,115.692,0.949219,-0.11377,-0.119141,2.62451,-14.6484,-20.813,-314,24,260,-144.08,-80.9637,52.3389,
0.00195312,-0.0366211,1.01074,5.49316,-2.56348,30.2124,-110,312,-661,0.928345,2.03796,-23.1482,0.931641,0.243652,-0.266602,12.4512,8.30078,-28.5645,-94,-169,340,130.534,-68.8019,116.603,0.970215,-0.103027,-0.120605,3.35693,-14.7705,-22.644,-314,24,260,-146.42,-80.9583,54.7394,
0.0107422,0.00439453,1.03027,6.04248,-3.479,29.2969,-110,312,-661,0.961304,1.97754,-22.7472,0.941406,0.316895,-0.254883,11.0474,9.15527,-28.6865,-95,-168,341,130.023,-68.6371,117.285,0.987793,-0.0947266,-0.115234,3.72314,-14.8926,-22.8271,-314,24,261,-148.854,-80.9583,57.2443,
0.0126953,0.130371,1.06641,5.00488,-3.96729,26.001,-110,313,-660,1.00525,1.90063,-22.3627,0.95459,0.415527,-0.236328,9.09424,9.64355,-26.123,-93,-168,341,129.183,-68.3789,118.372,1.00928,-0.0854492,-0.114258,4.82178,-12.4512,-22.1558,-314,23,261,-151.194,-80.9637,59.6832,
